Date,Hour,Price (Euro/MWh)
01/01/2023,1,195.90
01/01/2023,2,191.09
01/01/2023,3,187.95
01/01/2023,4,187.82
01/01/2023,5,187.74
01/01/2023,6,187.74
01/01/2023,7,187.22
01/01/2023,8,187.82
01/01/2023,9,186.47
01/01/2023,10,186.47
01/01/2023,11,177.25
01/01/2023,12,168.50
01/01/2023,13,173.00
01/01/2023,14,165.89
01/01/2023,15,179.73
01/01/2023,16,188.06
01/01/2023,17,193.67
01/01/2023,18,213.36
01/01/2023,19,229.99
01/01/2023,20,243.42
01/01/2023,21,235.00
01/01/2023,22,203.25
01/01/2023,23,190.85
01/01/2023,24,187.28
02/01/2023,1,187.27
02/01/2023,2,187.20
02/01/2023,3,180.00
02/01/2023,4,180.00
02/01/2023,5,185.89
02/01/2023,6,185.89
02/01/2023,7,198.85
02/01/2023,8,202.72
02/01/2023,9,213.36
02/01/2023,10,203.99
02/01/2023,11,196.23
02/01/2023,12,194.63
02/01/2023,13,194.47
02/01/2023,14,193.75
02/01/2023,15,195.74
02/01/2023,16,199.09
02/01/2023,17,206.21
02/01/2023,18,262.00
02/01/2023,19,247.00
02/01/2023,20,250.00
02/01/2023,21,210.95
02/01/2023,22,199.09
02/01/2023,23,194.47
02/01/2023,24,185.00
03/01/2023,1,170.77
03/01/2023,2,148.89
03/01/2023,3,120.00
03/01/2023,4,115.00
03/01/2023,5,113.63
03/01/2023,6,148.89
03/01/2023,7,191.58
03/01/2023,8,191.63
03/01/2023,9,199.74
03/01/2023,10,198.49
03/01/2023,11,191.58
03/01/2023,12,180.20
03/01/2023,13,175.00
03/01/2023,14,174.76
03/01/2023,15,180.20
03/01/2023,16,190.00
03/01/2023,17,194.90
03/01/2023,18,200.38
03/01/2023,19,200.00
03/01/2023,20,199.74
03/01/2023,21,195.02
03/01/2023,22,189.89
03/01/2023,23,173.57
03/01/2023,24,149.99
04/01/2023,1,121.50
04/01/2023,2,119.22
04/01/2023,3,100.00
04/01/2023,4,123.87
04/01/2023,5,128.00
04/01/2023,6,135.00
04/01/2023,7,171.58
04/01/2023,8,190.00
04/01/2023,9,217.72
04/01/2023,10,191.22
04/01/2023,11,183.83
04/01/2023,12,173.50
04/01/2023,13,169.41
04/01/2023,14,172.00
04/01/2023,15,183.57
04/01/2023,16,191.46
04/01/2023,17,200.45
04/01/2023,18,211.77
04/01/2023,19,215.00
04/01/2023,20,211.60
04/01/2023,21,200.00
04/01/2023,22,190.06
04/01/2023,23,179.99
04/01/2023,24,137.90
05/01/2023,1,150.98
05/01/2023,2,123.00
05/01/2023,3,107.00
05/01/2023,4,100.00
05/01/2023,5,107.40
05/01/2023,6,137.40
05/01/2023,7,188.16
05/01/2023,8,200.35
05/01/2023,9,227.00
05/01/2023,10,242.65
05/01/2023,11,192.94
05/01/2023,12,184.38
05/01/2023,13,165.00
05/01/2023,14,165.10
05/01/2023,15,184.52
05/01/2023,16,199.35
05/01/2023,17,234.27
05/01/2023,18,249.99
05/01/2023,19,239.99
05/01/2023,20,248.80
05/01/2023,21,200.01
05/01/2023,22,192.94
05/01/2023,23,184.99
05/01/2023,24,160.86
06/01/2023,1,173.13
06/01/2023,2,170.77
06/01/2023,3,160.00
06/01/2023,4,150.00
06/01/2023,5,152.10
06/01/2023,6,155.00
06/01/2023,7,172.80
06/01/2023,8,174.60
06/01/2023,9,174.34
06/01/2023,10,174.14
06/01/2023,11,156.68
06/01/2023,12,147.60
06/01/2023,13,145.50
06/01/2023,14,135.45
06/01/2023,15,149.99
06/01/2023,16,173.97
06/01/2023,17,179.60
06/01/2023,18,211.85
06/01/2023,19,226.72
06/01/2023,20,249.00
06/01/2023,21,219.99
06/01/2023,22,188.09
06/01/2023,23,175.74
06/01/2023,24,164.20
07/01/2023,1,176.66
07/01/2023,2,174.01
07/01/2023,3,174.01
07/01/2023,4,173.05
07/01/2023,5,173.03
07/01/2023,6,174.01
07/01/2023,7,179.55
07/01/2023,8,186.67
07/01/2023,9,192.82
07/01/2023,10,206.09
07/01/2023,11,186.39
07/01/2023,12,178.54
07/01/2023,13,165.00
07/01/2023,14,163.94
07/01/2023,15,177.44
07/01/2023,16,182.11
07/01/2023,17,189.94
07/01/2023,18,242.93
07/01/2023,19,244.99
07/01/2023,20,245.00
07/01/2023,21,194.25
07/01/2023,22,187.60
07/01/2023,23,178.54
07/01/2023,24,180.00
08/01/2023,1,164.87
08/01/2023,2,155.73
08/01/2023,3,150.00
08/01/2023,4,150.00
08/01/2023,5,152.63
08/01/2023,6,154.21
08/01/2023,7,165.00
08/01/2023,8,170.50
08/01/2023,9,170.50
08/01/2023,10,170.14
08/01/2023,11,165.00
08/01/2023,12,150.00
08/01/2023,13,160.00
08/01/2023,14,152.40
08/01/2023,15,165.00
08/01/2023,16,177.38
08/01/2023,17,176.99
08/01/2023,18,178.19
08/01/2023,19,181.87
08/01/2023,20,185.48
08/01/2023,21,180.56
08/01/2023,22,170.50
08/01/2023,23,149.81
08/01/2023,24,146.00
09/01/2023,1,164.67
09/01/2023,2,150.00
09/01/2023,3,111.00
09/01/2023,4,85.00
09/01/2023,5,73.71
09/01/2023,6,111.00
09/01/2023,7,140.55
09/01/2023,8,185.78
09/01/2023,9,195.00
09/01/2023,10,193.39
09/01/2023,11,187.46
09/01/2023,12,181.14
09/01/2023,13,173.16
09/01/2023,14,173.77
09/01/2023,15,178.79
09/01/2023,16,183.00
09/01/2023,17,184.79
09/01/2023,18,185.73
09/01/2023,19,182.18
09/01/2023,20,181.13
09/01/2023,21,174.99
09/01/2023,22,150.00
09/01/2023,23,134.30
09/01/2023,24,108.31
10/01/2023,1,105.98
10/01/2023,2,97.10
10/01/2023,3,95.98
10/01/2023,4,90.19
10/01/2023,5,95.60
10/01/2023,6,108.60
10/01/2023,7,177.78
10/01/2023,8,186.35
10/01/2023,9,230.00
10/01/2023,10,220.00
10/01/2023,11,196.11
10/01/2023,12,187.48
10/01/2023,13,180.01
10/01/2023,14,178.76
10/01/2023,15,185.37
10/01/2023,16,187.48
10/01/2023,17,196.11
10/01/2023,18,206.54
10/01/2023,19,196.11
10/01/2023,20,191.00
10/01/2023,21,185.22
10/01/2023,22,182.08
10/01/2023,23,175.08
10/01/2023,24,143.00
11/01/2023,1,128.14
11/01/2023,2,100.00
11/01/2023,3,100.00
11/01/2023,4,100.00
11/01/2023,5,105.00
11/01/2023,6,131.00
11/01/2023,7,190.00
11/01/2023,8,208.56
11/01/2023,9,226.25
11/01/2023,10,214.00
11/01/2023,11,208.53
11/01/2023,12,193.23
11/01/2023,13,180.77
11/01/2023,14,180.74
11/01/2023,15,190.50
11/01/2023,16,206.50
11/01/2023,17,226.11
11/01/2023,18,254.17
11/01/2023,19,217.78
11/01/2023,20,214.93
11/01/2023,21,206.50
11/01/2023,22,205.00
11/01/2023,23,194.50
11/01/2023,24,186.54
12/01/2023,1,160.72
12/01/2023,2,150.08
12/01/2023,3,131.00
12/01/2023,4,129.20
12/01/2023,5,133.50
12/01/2023,6,151.50
12/01/2023,7,180.10
12/01/2023,8,192.00
12/01/2023,9,223.51
12/01/2023,10,207.96
12/01/2023,11,189.99
12/01/2023,12,181.10
12/01/2023,13,174.62
12/01/2023,14,175.16
12/01/2023,15,179.50
12/01/2023,16,187.70
12/01/2023,17,198.08
12/01/2023,18,230.89
12/01/2023,19,200.15
12/01/2023,20,195.80
12/01/2023,21,185.50
12/01/2023,22,181.38
12/01/2023,23,177.50
12/01/2023,24,172.50
13/01/2023,1,172.34
13/01/2023,2,169.56
13/01/2023,3,169.42
13/01/2023,4,156.74
13/01/2023,5,163.50
13/01/2023,6,172.99
13/01/2023,7,185.01
13/01/2023,8,229.16
13/01/2023,9,295.00
13/01/2023,10,254.56
13/01/2023,11,206.24
13/01/2023,12,199.24
13/01/2023,13,185.00
13/01/2023,14,185.00
13/01/2023,15,188.23
13/01/2023,16,195.82
13/01/2023,17,210.00
13/01/2023,18,228.65
13/01/2023,19,207.43
13/01/2023,20,200.00
13/01/2023,21,188.23
13/01/2023,22,180.00
13/01/2023,23,175.00
13/01/2023,24,171.77
14/01/2023,1,157.80
14/01/2023,2,147.80
14/01/2023,3,141.00
14/01/2023,4,140.48
14/01/2023,5,145.16
14/01/2023,6,150.00
14/01/2023,7,167.91
14/01/2023,8,178.78
14/01/2023,9,180.20
14/01/2023,10,179.85
14/01/2023,11,167.91
14/01/2023,12,156.00
14/01/2023,13,125.91
14/01/2023,14,120.00
14/01/2023,15,135.85
14/01/2023,16,165.00
14/01/2023,17,175.17
14/01/2023,18,182.71
14/01/2023,19,180.20
14/01/2023,20,185.00
14/01/2023,21,180.10
14/01/2023,22,178.69
14/01/2023,23,170.48
14/01/2023,24,167.91
15/01/2023,1,155.60
15/01/2023,2,146.30
15/01/2023,3,137.06
15/01/2023,4,130.00
15/01/2023,5,130.60
15/01/2023,6,130.00
15/01/2023,7,146.76
15/01/2023,8,148.40
15/01/2023,9,148.40
15/01/2023,10,149.00
15/01/2023,11,148.40
15/01/2023,12,141.33
15/01/2023,13,144.00
15/01/2023,14,125.90
15/01/2023,15,129.90
15/01/2023,16,149.80
15/01/2023,17,163.11
15/01/2023,18,167.91
15/01/2023,19,169.36
15/01/2023,20,169.51
15/01/2023,21,167.91
15/01/2023,22,164.12
15/01/2023,23,148.40
15/01/2023,24,115.00
16/01/2023,1,60.01
16/01/2023,2,60.01
16/01/2023,3,62.72
16/01/2023,4,56.10
16/01/2023,5,63.30
16/01/2023,6,110.00
16/01/2023,7,170.36
16/01/2023,8,185.72
16/01/2023,9,189.88
16/01/2023,10,215.00
16/01/2023,11,203.47
16/01/2023,12,215.00
16/01/2023,13,189.88
16/01/2023,14,189.88
16/01/2023,15,192.72
16/01/2023,16,198.62
16/01/2023,17,204.99
16/01/2023,18,206.30
16/01/2023,19,196.87
16/01/2023,20,189.88
16/01/2023,21,186.92
16/01/2023,22,185.72
16/01/2023,23,171.13
16/01/2023,24,168.70
17/01/2023,1,139.96
17/01/2023,2,150.81
17/01/2023,3,156.98
17/01/2023,4,141.50
17/01/2023,5,141.00
17/01/2023,6,150.40
17/01/2023,7,173.06
17/01/2023,8,195.01
17/01/2023,9,255.02
17/01/2023,10,231.40
17/01/2023,11,219.55
17/01/2023,12,204.04
17/01/2023,13,187.10
17/01/2023,14,177.00
17/01/2023,15,179.70
17/01/2023,16,178.75
17/01/2023,17,187.06
17/01/2023,18,193.86
17/01/2023,19,210.51
17/01/2023,20,194.58
17/01/2023,21,177.13
17/01/2023,22,168.20
17/01/2023,23,159.62
17/01/2023,24,146.70
18/01/2023,1,141.74
18/01/2023,2,137.70
18/01/2023,3,132.75
18/01/2023,4,127.77
18/01/2023,5,129.90
18/01/2023,6,135.70
18/01/2023,7,159.21
18/01/2023,8,175.48
18/01/2023,9,197.20
18/01/2023,10,195.12
18/01/2023,11,183.86
18/01/2023,12,177.12
18/01/2023,13,161.50
18/01/2023,14,158.60
18/01/2023,15,163.00
18/01/2023,16,164.99
18/01/2023,17,178.65
18/01/2023,18,183.86
18/01/2023,19,186.00
18/01/2023,20,181.90
