Date,Hour,Price (Euro/MWh)
09/01/2019,22,66.63
09/01/2019,23,64.12
09/01/2019,24,61.66
10/01/2019,1,60.99
10/01/2019,2,58.59
10/01/2019,3,55.88
10/01/2019,4,53.55
10/01/2019,5,54.98
10/01/2019,6,55.63
10/01/2019,7,63.99
10/01/2019,8,72.60
10/01/2019,9,81.17
10/01/2019,10,87.21
10/01/2019,11,81.15
10/01/2019,12,80.00
10/01/2019,13,76.39
10/01/2019,14,75.00
10/01/2019,15,76.06
10/01/2019,16,75.40
10/01/2019,17,78.02
10/01/2019,18,85.15
10/01/2019,19,85.15
10/01/2019,20,78.52
10/01/2019,21,77.96
10/01/2019,22,68.90
10/01/2019,23,68.95
10/01/2019,24,63.99
11/01/2019,1,61.66
11/01/2019,2,59.66
11/01/2019,3,57.12
11/01/2019,4,57.97
11/01/2019,5,58.00
11/01/2019,6,59.14
11/01/2019,7,66.26
11/01/2019,8,70.31
11/01/2019,9,78.26
11/01/2019,10,76.22
11/01/2019,11,73.87
11/01/2019,12,72.77
11/01/2019,13,68.77
11/01/2019,14,67.20
11/01/2019,15,68.00
11/01/2019,16,70.77
11/01/2019,17,75.00
11/01/2019,18,78.86
11/01/2019,19,78.29
11/01/2019,20,77.52
11/01/2019,21,70.99
11/01/2019,22,67.60
11/01/2019,23,66.26
11/01/2019,24,63.57
12/01/2019,1,65.10
12/01/2019,2,62.12
12/01/2019,3,59.05
12/01/2019,4,59.00
12/01/2019,5,56.63
12/01/2019,6,56.63
12/01/2019,7,61.66
12/01/2019,8,66.61
12/01/2019,9,73.00
12/01/2019,10,73.00
12/01/2019,11,65.00
12/01/2019,12,64.47
12/01/2019,13,62.89
12/01/2019,14,59.50
12/01/2019,15,56.99
12/01/2019,16,61.92
12/01/2019,17,65.63
12/01/2019,18,77.96
12/01/2019,19,78.00
12/01/2019,20,78.52
12/01/2019,21,73.00
12/01/2019,22,67.31
12/01/2019,23,63.60
12/01/2019,24,60.32
13/01/2019,1,63.44
13/01/2019,2,60.68
13/01/2019,3,58.70
13/01/2019,4,53.26
13/01/2019,5,50.20
13/01/2019,6,49.58
13/01/2019,7,62.39
13/01/2019,8,66.04
13/01/2019,9,66.70
13/01/2019,10,69.01
13/01/2019,11,69.01
13/01/2019,12,67.28
13/01/2019,13,61.92
13/01/2019,14,59.57
13/01/2019,15,62.00
13/01/2019,16,63.73
13/01/2019,17,72.11
13/01/2019,18,78.52
13/01/2019,19,81.03
13/01/2019,20,81.03
13/01/2019,21,78.40
