Date,Hour,Price (Euro/MWh)
01/01/2022,1,170.28
01/01/2022,2,155.72
01/01/2022,3,147.09
01/01/2022,4,91.00
01/01/2022,5,104.00
01/01/2022,6,140.60
01/01/2022,7,147.09
01/01/2022,8,99.99
01/01/2022,9,67.99
01/01/2022,10,95.00
01/01/2022,11,135.80
01/01/2022,12,150.70
01/01/2022,13,155.72
01/01/2022,14,147.09
01/01/2022,15,100.00
01/01/2022,16,155.00
01/01/2022,17,169.78
01/01/2022,18,203.10
01/01/2022,19,205.83
01/01/2022,20,214.66
01/01/2022,21,214.66
01/01/2022,22,203.00
01/01/2022,23,180.00
01/01/2022,24,162.44
02/01/2022,1,148.08
02/01/2022,2,142.85
02/01/2022,3,140.60
02/01/2022,4,100.00
02/01/2022,5,140.60
02/01/2022,6,141.93
02/01/2022,7,147.09
02/01/2022,8,152.61
02/01/2022,9,152.59
02/01/2022,10,155.72
02/01/2022,11,167.98
02/01/2022,12,175.08
02/01/2022,13,189.58
02/01/2022,14,169.69
02/01/2022,15,155.72
02/01/2022,16,167.75
02/01/2022,17,194.21
02/01/2022,18,245.00
02/01/2022,19,225.19
02/01/2022,20,216.29
02/01/2022,21,199.64
02/01/2022,22,178.41
02/01/2022,23,154.44
02/01/2022,24,144.79
03/01/2022,1,127.00
03/01/2022,2,127.00
03/01/2022,3,84.62
03/01/2022,4,83.27
03/01/2022,5,85.00
03/01/2022,6,84.50
03/01/2022,7,164.46
03/01/2022,8,202.03
03/01/2022,9,212.00
03/01/2022,10,232.00
03/01/2022,11,239.51
03/01/2022,12,212.22
03/01/2022,13,202.03
03/01/2022,14,199.89
03/01/2022,15,207.16
03/01/2022,16,265.00
03/01/2022,17,270.00
03/01/2022,18,300.00
03/01/2022,19,300.00
03/01/2022,20,275.00
03/01/2022,21,221.16
03/01/2022,22,199.08
03/01/2022,23,170.00
03/01/2022,24,161.01
04/01/2022,1,150.55
04/01/2022,2,140.60
04/01/2022,3,113.29
04/01/2022,4,105.81
04/01/2022,5,105.00
04/01/2022,6,120.00
04/01/2022,7,156.91
04/01/2022,8,182.64
04/01/2022,9,200.00
04/01/2022,10,192.80
04/01/2022,11,189.88
04/01/2022,12,182.42
04/01/2022,13,182.46
04/01/2022,14,179.59
04/01/2022,15,179.00
04/01/2022,16,180.93
04/01/2022,17,192.27
04/01/2022,18,201.21
04/01/2022,19,197.19
04/01/2022,20,190.35
04/01/2022,21,170.84
04/01/2022,22,161.30
04/01/2022,23,156.80
04/01/2022,24,145.60
05/01/2022,1,142.60
05/01/2022,2,105.10
05/01/2022,3,84.50
05/01/2022,4,75.38
05/01/2022,5,79.11
05/01/2022,6,94.79
05/01/2022,7,181.41
05/01/2022,8,215.98
05/01/2022,9,218.95
05/01/2022,10,226.52
05/01/2022,11,224.45
05/01/2022,12,217.92
05/01/2022,13,205.00
05/01/2022,14,214.90
05/01/2022,15,217.92
05/01/2022,16,226.52
05/01/2022,17,226.52
05/01/2022,18,265.00
05/01/2022,19,265.00
05/01/2022,20,265.00
05/01/2022,21,241.93
05/01/2022,22,218.95
05/01/2022,23,207.46
05/01/2022,24,200.00
06/01/2022,1,207.15
06/01/2022,2,195.00
06/01/2022,3,191.82
06/01/2022,4,180.70
06/01/2022,5,170.10
06/01/2022,6,194.38
06/01/2022,7,204.22
06/01/2022,8,228.25
06/01/2022,9,236.23
06/01/2022,10,247.10
06/01/2022,11,245.24
06/01/2022,12,231.90
06/01/2022,13,226.00
06/01/2022,14,220.00
06/01/2022,15,216.06
06/01/2022,16,230.77
06/01/2022,17,245.95
06/01/2022,18,274.11
06/01/2022,19,273.44
06/01/2022,20,278.36
06/01/2022,21,251.71
06/01/2022,22,229.96
06/01/2022,23,227.46
06/01/2022,24,212.02
07/01/2022,1,213.47
07/01/2022,2,208.63
07/01/2022,3,204.35
07/01/2022,4,203.91
07/01/2022,5,202.54
07/01/2022,6,205.17
07/01/2022,7,229.22
07/01/2022,8,240.00
07/01/2022,9,254.19
07/01/2022,10,257.24
07/01/2022,11,254.18
07/01/2022,12,241.22
07/01/2022,13,240.20
07/01/2022,14,229.53
07/01/2022,15,233.49
07/01/2022,16,237.08
07/01/2022,17,239.00
07/01/2022,18,266.86
07/01/2022,19,270.00
07/01/2022,20,257.20
07/01/2022,21,244.41
07/01/2022,22,236.04
07/01/2022,23,229.00
07/01/2022,24,207.49
08/01/2022,1,218.33
08/01/2022,2,211.23
08/01/2022,3,201.90
08/01/2022,4,201.00
08/01/2022,5,201.00
08/01/2022,6,201.00
08/01/2022,7,215.43
08/01/2022,8,228.77
08/01/2022,9,238.11
08/01/2022,10,239.00
08/01/2022,11,242.93
08/01/2022,12,231.02
08/01/2022,13,223.33
08/01/2022,14,215.72
08/01/2022,15,215.49
08/01/2022,16,230.00
08/01/2022,17,242.67
08/01/2022,18,290.00
08/01/2022,19,300.00
08/01/2022,20,294.96
08/01/2022,21,283.00
08/01/2022,22,241.77
08/01/2022,23,233.56
08/01/2022,24,227.00
09/01/2022,1,215.00
09/01/2022,2,204.01
09/01/2022,3,197.61
09/01/2022,4,191.00
09/01/2022,5,182.00
09/01/2022,6,172.00
09/01/2022,7,176.33
09/01/2022,8,187.66
09/01/2022,9,190.66
09/01/2022,10,194.36
09/01/2022,11,215.00
09/01/2022,12,218.90
09/01/2022,13,218.34
09/01/2022,14,210.47
09/01/2022,15,213.06
09/01/2022,16,223.35
09/01/2022,17,225.55
09/01/2022,18,257.35
09/01/2022,19,269.60
09/01/2022,20,269.36
09/01/2022,21,242.08
09/01/2022,22,222.80
09/01/2022,23,218.34
09/01/2022,24,203.80
10/01/2022,1,196.23
10/01/2022,2,191.85
10/01/2022,3,195.91
10/01/2022,4,186.66
10/01/2022,5,178.04
10/01/2022,6,192.15
10/01/2022,7,237.44
10/01/2022,8,299.95
10/01/2022,9,313.92
10/01/2022,10,315.00
10/01/2022,11,310.41
10/01/2022,12,310.08
10/01/2022,13,300.00
10/01/2022,14,297.01
10/01/2022,15,299.96
10/01/2022,16,305.26
10/01/2022,17,297.97
10/01/2022,18,313.79
10/01/2022,19,310.82
10/01/2022,20,294.98
10/01/2022,21,267.45
10/01/2022,22,242.23
10/01/2022,23,217.03
10/01/2022,24,198.93
11/01/2022,1,210.34
11/01/2022,2,202.42
11/01/2022,3,197.60
11/01/2022,4,193.00
11/01/2022,5,194.90
11/01/2022,6,204.45
11/01/2022,7,230.92
11/01/2022,8,286.61
11/01/2022,9,300.02
11/01/2022,10,297.16
11/01/2022,11,277.02
11/01/2022,12,261.69
11/01/2022,13,248.64
11/01/2022,14,247.70
11/01/2022,15,255.01
11/01/2022,16,277.90
11/01/2022,17,289.94
11/01/2022,18,316.40
11/01/2022,19,315.90
11/01/2022,20,309.20
11/01/2022,21,285.33
11/01/2022,22,245.00
11/01/2022,23,235.22
11/01/2022,24,211.84
12/01/2022,1,196.65
12/01/2022,2,187.10
12/01/2022,3,184.27
12/01/2022,4,179.58
12/01/2022,5,178.33
12/01/2022,6,193.50
12/01/2022,7,236.76
12/01/2022,8,273.18
12/01/2022,9,300.10
12/01/2022,10,292.74
12/01/2022,11,275.50
12/01/2022,12,258.65
12/01/2022,13,245.11
12/01/2022,14,232.08
12/01/2022,15,234.77
12/01/2022,16,240.01
12/01/2022,17,255.00
12/01/2022,18,284.82
12/01/2022,19,285.97
12/01/2022,20,269.03
12/01/2022,21,246.90
12/01/2022,22,222.79
12/01/2022,23,213.64
12/01/2022,24,200.22
13/01/2022,1,192.24
13/01/2022,2,188.72
13/01/2022,3,187.87
13/01/2022,4,186.57
13/01/2022,5,188.00
13/01/2022,6,198.24
13/01/2022,7,212.18
13/01/2022,8,236.26
13/01/2022,9,252.39
13/01/2022,10,257.58
13/01/2022,11,254.17
13/01/2022,12,230.00
13/01/2022,13,223.12
