Date,Hour,Price (Euro/MWh)
01/01/2021,1,50.87
01/01/2021,2,48.19
01/01/2021,3,44.68
01/01/2021,4,42.92
01/01/2021,5,40.39
01/01/2021,6,40.20
01/01/2021,7,39.63
01/01/2021,8,40.09
01/01/2021,9,41.27
01/01/2021,10,41.67
01/01/2021,11,45.00
01/01/2021,12,47.20
01/01/2021,13,48.43
01/01/2021,14,45.49
01/01/2021,15,44.73
01/01/2021,16,46.59
01/01/2021,17,52.99
01/01/2021,18,60.26
01/01/2021,19,60.61
01/01/2021,20,60.36
01/01/2021,21,57.40
01/01/2021,22,53.86
01/01/2021,23,53.45
01/01/2021,24,49.72
02/01/2021,1,46.69
02/01/2021,2,42.43
02/01/2021,3,41.09
02/01/2021,4,40.00
02/01/2021,5,37.55
02/01/2021,6,39.00
02/01/2021,7,42.09
02/01/2021,8,46.57
02/01/2021,9,51.33
02/01/2021,10,54.60
02/01/2021,11,53.17
02/01/2021,12,52.15
02/01/2021,13,55.95
02/01/2021,14,52.00
02/01/2021,15,52.00
02/01/2021,16,53.89
02/01/2021,17,59.99
02/01/2021,18,62.00
02/01/2021,19,63.08
02/01/2021,20,62.17
02/01/2021,21,60.03
02/01/2021,22,55.03
02/01/2021,23,52.25
02/01/2021,24,48.45
03/01/2021,1,46.11
03/01/2021,2,43.00
03/01/2021,3,39.55
03/01/2021,4,37.44
03/01/2021,5,35.64
03/01/2021,6,35.50
03/01/2021,7,36.14
03/01/2021,8,36.97
03/01/2021,9,41.07
03/01/2021,10,44.49
03/01/2021,11,49.00
03/01/2021,12,50.30
03/01/2021,13,52.04
03/01/2021,14,46.64
03/01/2021,15,44.01
03/01/2021,16,45.53
03/01/2021,17,49.92
03/01/2021,18,58.00
03/01/2021,19,59.50
03/01/2021,20,61.09
03/01/2021,21,60.00
03/01/2021,22,59.40
03/01/2021,23,55.36
03/01/2021,24,53.06
04/01/2021,1,50.23
04/01/2021,2,46.64
04/01/2021,3,43.79
04/01/2021,4,41.65
04/01/2021,5,41.62
04/01/2021,6,44.50
04/01/2021,7,58.88
04/01/2021,8,62.00
04/01/2021,9,64.84
04/01/2021,10,68.25
04/01/2021,11,65.97
04/01/2021,12,63.90
04/01/2021,13,62.30
04/01/2021,14,62.00
04/01/2021,15,61.97
04/01/2021,16,62.45
04/01/2021,17,63.90
04/01/2021,18,67.02
04/01/2021,19,71.05
04/01/2021,20,70.18
04/01/2021,21,65.00
04/01/2021,22,61.39
04/01/2021,23,59.80
04/01/2021,24,54.69
05/01/2021,1,54.79
05/01/2021,2,50.30
05/01/2021,3,49.53
05/01/2021,4,44.58
05/01/2021,5,45.05
05/01/2021,6,49.53
05/01/2021,7,58.15
05/01/2021,8,62.00
05/01/2021,9,65.06
05/01/2021,10,66.97
05/01/2021,11,67.74
05/01/2021,12,67.40
05/01/2021,13,66.77
05/01/2021,14,65.89
05/01/2021,15,65.32
05/01/2021,16,65.00
05/01/2021,17,64.64
05/01/2021,18,68.32
05/01/2021,19,66.77
05/01/2021,20,64.33
05/01/2021,21,64.00
05/01/2021,22,58.16
05/01/2021,23,56.16
05/01/2021,24,55.51
06/01/2021,1,53.73
